# Star 1011721
# obswvl	obsflux	synthflux	synthfluxup	synthfluxdown	synthflux_nomn
# 
4.743878417968750000e+03 9.936494271614667584e-01 9.850738150733447940e-01 9.850735141225329672e-01 9.850740208555955890e-01 9.850754383182952489e-01
4.744200195312500000e+03 9.944803119436290695e-01 9.853309491746171656e-01 9.853304251427805749e-01 9.853313779863177579e-01 9.853320809186343343e-01
4.744520996093750000e+03 9.700732541586601920e-01 9.815720906234346455e-01 9.815711641167451651e-01 9.815728167448954933e-01 9.815731012818976753e-01
4.744842773437500000e+03 9.807824130053164335e-01 9.744746902186137705e-01 9.744732215570183209e-01 9.744756925896284061e-01 9.744757860862689469e-01
4.745164062500000000e+03 9.607245736452914020e-01 9.661358586275867744e-01 9.661337687346377434e-01 9.661369844849077015e-01 9.661370095392006752e-01
4.745485839843750000e+03 9.694750487207363099e-01 9.596416115177323070e-01 9.596388841534702063e-01 9.596426407827209903e-01 9.596426462381053568e-01
4.745806640625000000e+03 9.635838170694036586e-01 9.577803930245804009e-01 9.577771193721686949e-01 9.577811595753236151e-01 9.577811605659287686e-01
4.746128417968750000e+03 9.745224647635236659e-01 9.612212844380289001e-01 9.612177293552242041e-01 9.612217486809246925e-01 9.612217489673066106e-01
4.746450195312500000e+03 9.938978082159428684e-01 9.680498224146004693e-01 9.680464253041889400e-01 9.680500511819204457e-01 9.680500520995157787e-01
4.746771484375000000e+03 9.541746350263110577e-01 9.751659491248146905e-01 9.751631520520959162e-01 9.751660409913196492e-01 9.751660454989787841e-01
4.747092773437500000e+03 9.619997032635086986e-01 9.803624808229592924e-01 9.803604882902484663e-01 9.803625108585619641e-01 9.803625292034320315e-01
4.747414062500000000e+03 9.643734260680929538e-01 9.830677954856601453e-01 9.830664430058326797e-01 9.830678034808991717e-01 9.830678642868435624e-01
4.747735839843750000e+03 9.572288535260334852e-01 9.837394749833007213e-01 9.837382766145598145e-01 9.837394767117844108e-01 9.837396410280953019e-01
4.748057617187500000e+03 9.301625816895985333e-01 9.829472161781722672e-01 9.829455356033354185e-01 9.829472164822211644e-01 9.829475777753267085e-01
4.748378417968750000e+03 9.551100663137002122e-01 9.810050447637699289e-01 9.810023590598543342e-01 9.810050448075589014e-01 9.810056902415441593e-01
4.748700195312500000e+03 9.542694103118727345e-01 9.781292477101244387e-01 9.781254395969434245e-01 9.781292477152270237e-01 9.781301878526510452e-01
4.749021484375000000e+03 9.551852885413590899e-01 9.748585036601953302e-01 9.748540368353271202e-01 9.748585036606809417e-01 9.748596177787661743e-01
4.749343261718750000e+03 9.544354549853081293e-01 9.721078376883719452e-01 9.721035590556879047e-01 9.721078376892116069e-01 9.721089124152773042e-01
4.749664550781250000e+03 9.625155674675325290e-01 9.707491301812219975e-01 9.707457911906735015e-01 9.707491301899854319e-01 9.707499742246085139e-01
4.749985839843750000e+03 9.687663689508536624e-01 9.708535879609050401e-01 9.708514658180626977e-01 9.708535880357475056e-01 9.708541280691017628e-01
4.750307617187500000e+03 9.710397258921815711e-01 9.714662326070681031e-01 9.714651309094114451e-01 9.714662379461737052e-01 9.714665611762745012e-01
4.750629394531250000e+03 9.814420254666909038e-01 9.712495116739315870e-01 9.712490050172687406e-01 9.712495619658001456e-01 9.712500890960779065e-01
4.750950683593750000e+03 9.758302112994766686e-01 9.694899913282447601e-01 9.694894746787108275e-01 9.694903827113985351e-01 9.694936456045911699e-01
4.751271972656250000e+03 9.558887924744643438e-01 9.665066759909468619e-01 9.665043093182205114e-01 9.665091838157965354e-01 9.665300578206114102e-01
4.751593750000000000e+03 9.591642969566214205e-01 9.633109090742797420e-01 9.632985960825252159e-01 9.633241148457638570e-01 9.634348452936070117e-01
4.751915039062500000e+03 9.376733709163025399e-01 9.610500298242378170e-01 9.609970302294372768e-01 9.611067488741766862e-01 9.615851241403119420e-01
4.752236816406250000e+03 9.495994476832516629e-01 9.603622545375909425e-01 9.601757829281792889e-01 9.605615488473966401e-01 9.622497471971697136e-01
4.752558105468750000e+03 9.544313263592261176e-01 9.606133799594218647e-01 9.600795350502426828e-01 9.611836162908234948e-01 9.660293442663109298e-01
4.752879394531250000e+03 9.562968989073787895e-01 9.595435403183276701e-01 9.582973986624470086e-01 9.608743296486972341e-01 9.722081284699809478e-01
4.753201171875000000e+03 9.537294477541872206e-01 9.546618858764274185e-01 9.522881141009043038e-01 9.571964974363239564e-01 9.788129582704091503e-01
4.753522949218750000e+03 9.172356143240385506e-01 9.461221838299127551e-01 9.424372416100728067e-01 9.500557673783254220e-01 9.836248417445317971e-01
4.753844238281250000e+03 9.176333353991480424e-01 9.380223666213977074e-01 9.333609495587195104e-01 9.429958168404392049e-01 9.854337087544866591e-01
4.754165527343750000e+03 9.332907452451689734e-01 9.355757248427758466e-01 9.307649950424634611e-01 9.407038567200260992e-01 9.844168991058517282e-01
4.754487304687500000e+03 9.414165922377114581e-01 9.405204423599552443e-01 9.364678873915248669e-01 9.448334077704367839e-01 9.815115182450204756e-01
4.754809082031250000e+03 9.436736136800518704e-01 9.493909002050662238e-01 9.465978557801275617e-01 9.523542666693531888e-01 9.774314934156347334e-01
4.755130371093750000e+03 9.759883616514549720e-01 9.563554371421293387e-01 9.547678579562199896e-01 9.580288502342838575e-01 9.720351155314512770e-01
