apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.4230.2M21295245+1153571,2M21295245+1153571,322.468564,11.899209,4859.109,3.20132,-0.015836,-0.42297,0.23963,-0.2206781,0.04927929
apogee.apo25m.s.stars.4230.2M21295310+1253224,2M21295310+1253224,322.471254,12.889568,4847.338,2.40369,0.12516,-0.40548,0.21362,-0.1076553,0.02848943
apogee.apo25m.s.stars.4230.2M21295615+1111021,2M21295615+1111021,322.483997,11.183938,5053.532,3.336977,0.10422,-0.2868,0.079723,-0.09244695,0.03835575
apogee.apo25m.s.stars.4230.2M21295978+1305374,2M21295978+1305374,322.4991,13.093723,4679.739,2.584269,0.11313,-0.26606,0.21417,-0.1099176,0.03488592
apogee.apo25m.s.stars.4230.2M21300462+1231598,2M21300462+1231598,322.519263,12.533299,4123.878,1.409614,0.23317,-0.55834,0.26563,-0.1949014,0.02445561
apogee.apo25m.s.stars.4230.2M21300702+1308262,2M21300702+1308262,322.529255,13.140623,4512.116,2.340833,0.14053,0.11516,0.050025,0.06590956,0.01903533
apogee.apo25m.s.stars.4230.2M21300897+1135291,2M21300897+1135291,322.537416,11.591437,4896.839,3.267571,0.057874,-0.31843,0.22144,-0.128124,0.02757378
apogee.apo25m.s.stars.4230.2M21301023+1248077,2M21301023+1248077,322.542636,12.802142,4808.921,2.534187,0.16953,-0.765,0.30032,-0.2231237,0.0590062
apogee.apo25m.s.stars.4230.2M21301536+1230407,2M21301536+1230407,322.564028,12.511313,4492.586,2.375034,0.13317,0.11246,0.021708,0.05252665,0.01894167
apogee.apo25m.s.stars.4230.2M21301559+1235285,2M21301559+1235285,322.564999,12.59125,4810.528,2.881217,0.082766,-0.47601,0.24034,-0.1936601,0.0299838
apogee.apo25m.s.stars.4230.2M21301970+1235357,2M21301970+1235357,322.582098,12.593277,4922.46,2.43363,0.16881,-0.34702,0.093043,-0.1553789,0.02825908
apogee.apo25m.s.stars.4230.2M21301983+1153153,2M21301983+1153153,322.582658,11.887595,4909.283,2.768102,0.1211,-0.76623,0.32327,-0.1102014,0.06159891
