Title: Lithium-Rich Giants in Globular Clusters
Authors: Kirby E.N., Guhathakurta P., Zhang A.J., Hong J., Guo M., Guo R.,
         Cohen J.G.
Table: Stellar Properties and Lithium Abundances
================================================================================
Byte-by-byte Description of file: table_catalog.dat
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---       GC      Globular cluster
  10- 24 A15    ---       Name    Star name
  26- 27 I2     h         RAh     Hour of Right Ascension (J2000)
  29- 30 I2     min       RAm     Minute of Right Ascension (J2000)
  32- 36 F5.2   s         RAs     Second of Right Ascension (J2000)
      38 A1     ---       DE-     Sign of the Declination (J2000)
  39- 40 I2     deg       DEd     Degree of Declination (J2000)
  42- 43 I2     arcmin    DEm     Arcminute of Declination (J2000)
  45- 48 F4.1   arcsec    DEs     Arcsecond of Declination (J2000)
  50- 52 A3     ---       Branch  RGB or AGB star
  54- 58 F5.2   mag       V       Extinction-corrected apparent V magnitude
  60- 63 F4.2   mag       B-V     ? Reddening-corrected B-V color
  65- 68 F4.2   mag       V-I     ? Reddening-corrected V-I color
  70- 74 F5.2   mag       M_V     Extinction-corrected absolute V magnitude
  76- 79 I4     K         Teff    Effective temperature
  81- 84 F4.2   cm/s^2    logg    Surface gravity
  86- 90 F5.2   [Sun]     [Fe/H]  Iron abundance relative to the Sun
  92- 95 F4.2   [Sun]   e_[Fe/H]  Uncertainty in [Fe/H]
      97 A1     ---       LiUL    ? Upper limit flag for A(Li)
  98-102 F5.2   ---       A(Li)   Lithium abundance
 104-107 F4.2   ---     e_A(Li)   ? Uncertainty in A(Li)
--------------------------------------------------------------------------------
NGC 288  N288-S673       00 52 41.40 -26 32 49.9 RGB 17.70 0.63 0.79  2.94 5447 3.43 -1.05 0.11 < 2.76     
NGC 288  N288-S163       00 52 41.50 -26 31 50.2 RGB 17.85 0.61 0.79  3.09 5460 3.49 -1.19 0.13 < 2.05     
NGC 288  7321            00 52 41.53 -26 34 10.4 RGB 17.94      0.83  3.18 5316 3.49 -1.42 0.11 < 1.37     
NGC 288  N288-S164       00 52 41.75 -26 39 40.9 RGB 16.91 0.65 0.82  2.15 5315 3.06 -1.24 0.11 < 2.18     
NGC 288  7554            00 52 42.63 -26 34 01.6 RGB 17.33      0.84  2.57 5255 3.23 -1.35 0.11   1.68 0.14
NGC 288  N288-S166       00 52 43.08 -26 41 30.8 RGB 18.04 0.61 0.78  3.28 5466 3.59 -1.18 0.13 < 2.10     
NGC 288  1799            00 52 43.09 -26 37 28.9 RGB 17.63      0.78  2.87 5471 3.41 -1.39 0.11 < 2.08     
NGC 288  2418            00 52 43.26 -26 36 57.0 AGB 12.93      1.36 -1.82 4149 0.87 -1.29 0.11  -0.58 0.14
NGC 288  2974            00 52 43.34 -26 36 33.5 RGB 16.95      0.83  2.19 5259 3.07 -1.25 0.11 < 1.89     
NGC 288  6005            00 52 43.55 -26 34 56.9 RGB 16.81      0.82  2.05 5270 3.03 -1.40 0.11 < 1.64     
NGC 288  8370            00 52 44.13 -26 33 28.3 RGB 16.82      0.85  2.06 5231 3.00 -1.31 0.11 < 1.61     
NGC 288  3393            00 52 44.31 -26 36 19.0 RGB 17.38      0.85  2.62 5266 3.23 -1.39 0.11 < 1.73     
NGC 288  6180            00 52 44.51 -26 34 50.8 RGB 17.53      0.84  2.77 5241 3.31 -1.42 0.11 < 1.39     
NGC 288  9081            00 52 44.76 -26 32 58.0 RGB 16.02      0.90  1.26 5080 2.62 -1.35 0.11   1.19 0.16
NGC 288  N288-S27        00 52 44.89 -26 36 23.0 RGB 15.32 0.79 0.92  0.56 4964 2.31 -1.33 0.11 < 1.31     
NGC 288  5746            00 52 45.08 -26 35 06.7 RGB 17.92      0.79  3.16 5385 3.52 -1.35 0.11 < 2.18     
NGC 288  8904            00 52 45.13 -26 33 06.1 RGB 16.79      0.88  2.03 5129 2.96 -1.42 0.11 < 1.25     
NGC 288  3125            00 52 45.62 -26 36 28.0 RGB 17.84      0.70  3.08 5750 3.60 -1.45 0.11 < 2.35     
NGC 288  8895            00 52 45.73 -26 33 06.6 RGB 18.01      0.78  3.25 5422 3.58 -1.26 0.11 < 2.09     
NGC 288  8166            00 52 46.13 -26 33 37.9 RGB 16.14      0.87  1.38 5116 2.69 -1.37 0.11   1.11 0.15
NGC 288  6048            00 52 46.18 -26 34 55.5 RGB 17.56      0.84  2.80 5234 3.32 -1.37 0.11 < 1.19     
NGC 288  1864            00 52 46.22 -26 37 25.8 RGB 12.75      1.50 -2.01 3956 0.64 -1.27 0.11  -0.68 0.12
NGC 288  2484            00 52 46.37 -26 36 54.2 RGB 17.81      0.81  3.05 5360 3.45 -1.42 0.11 < 1.90     
NGC 288  23              00 52 46.54 -26 31 52.3 RGB 15.20      0.98  0.44 4836 2.19 -1.37 0.11 < 0.70     
NGC 288  7800            00 52 46.56 -26 33 52.7 RGB 17.82      0.79  3.06 5419 3.48 -1.28 0.11 < 2.01     
NGC 288  12              00 52 46.70 -26 35 13.5 RGB 13.74      1.21 -1.02 4436 1.34 -1.41 0.11 <-0.74     
NGC 288  N288-S21        00 52 46.99 -26 37 50.1 RGB 17.27 0.63 0.80  2.51 5394 3.23 -1.27 0.12 < 2.31     
NGC 288  2282            00 52 47.00 -26 37 04.0 RGB 15.29      0.97  0.53 4903 2.25 -1.30 0.11   0.72 0.18
NGC 288  4784            00 52 47.13 -26 35 36.0 RGB 16.53      0.88  1.77 5134 2.85 -1.38 0.11 < 1.05     
NGC 288  1707            00 52 47.32 -26 37 34.9 RGB 16.61      0.88  1.85 5130 2.89 -1.30 0.11 < 1.14     
NGC 288  6906            00 52 47.35 -26 34 25.6 RGB 16.66      0.83  1.90 5150 2.95 -1.37 0.11 < 1.44     
NGC 288  4273            00 52 47.54 -26 35 49.9 RGB 18.03      0.81  3.27 5329 3.54 -1.30 0.11   1.68 0.22
NGC 288  8017            00 52 47.94 -26 33 43.9 RGB 16.70      0.86  1.94 5185 2.94 -1.39 0.11 < 1.43     
NGC 288  6466            00 52 48.27 -26 34 40.7 RGB 17.40      0.83  2.65 5261 3.26 -1.37 0.11 < 1.30     
NGC 288  6534            00 52 48.52 -26 34 38.6 RGB 17.62      0.73  2.86 5657 3.46 -1.33 0.11   2.48 0.16
NGC 288  5923            00 52 48.83 -26 35 00.5 RGB 17.78      0.77  3.02 5488 3.48 -1.32 0.11 < 1.88     
NGC 288  N288-S15        00 52 49.05 -26 37 03.9 RGB 16.75 0.67 0.83  1.99 5286 2.99 -1.35 0.12 < 1.55     
NGC 288  N288-S173       00 52 49.08 -26 40 07.1 RGB 14.89 0.86 0.97  0.13 4796 2.07 -1.24 0.11 < 1.00     
NGC 288  6438            00 52 49.19 -26 34 42.0 RGB 15.74      0.92  0.98 5025 2.48 -1.30 0.11   1.23 0.13
NGC 288  4480            00 52 49.40 -26 35 44.5 RGB 17.10      0.85  2.34 5227 3.12 -1.37 0.11 < 1.25     
NGC 288  2366            00 52 49.55 -26 37 00.4 RGB 15.40      0.95  0.64 4915 2.31 -1.24 0.11   1.15 0.13
NGC 288  24              00 52 49.84 -26 36 33.4 RGB 14.16      1.07 -0.60 4860 1.67 -1.33 0.11 < 0.85     
NGC 288  6369            00 52 49.86 -26 34 44.4 RGB 17.76      0.79  3.00 5435 3.45 -1.31 0.11 < 1.57     
NGC 288  5010            00 52 49.94 -26 35 30.7 RGB 17.04      0.85  2.28 5263 3.10 -1.27 0.11   1.58 0.16
NGC 288  5188            00 52 51.37 -26 35 26.2 RGB 17.21      0.84  2.45 5242 3.17 -1.37 0.11 < 1.51     
NGC 288  9569            00 52 52.84 -26 32 34.5 RGB 17.92      0.79  3.16 5442 3.52 -1.21 0.11 < 2.05     
NGC 288  N288-S184       00 52 54.90 -26 39 32.7 RGB 17.67 0.62 0.80  2.91 5403 3.40 -1.31 0.12 < 2.05     
NGC 288  6660            00 52 56.38 -26 34 35.6 RGB 17.78      0.82  3.02 5333 3.43 -1.40 0.11 < 1.87     
NGC 288  6216            00 52 56.90 -26 34 51.4 RGB 13.97      1.14 -0.79 4522 1.51 -1.26 0.11 <-0.36     
NGC 288  8439            00 52 57.59 -26 33 27.8 RGB 15.39      0.95  0.63 4906 2.30 -1.36 0.11   0.94 0.16
NGC 288  7555            00 53 00.38 -26 34 04.2 RGB 16.07      0.92  1.32 5098 2.62 -1.33 0.11 < 1.13     
NGC 288  8541            00 53 04.17 -26 33 24.2 RGB 16.97      0.85  2.21 5245 3.06 -1.23 0.11 < 1.04     
Pal 2    59              04 46 00.29 +31 22 47.7 RGB 18.68 0.62 0.90  0.99 5466 2.53 -1.00 0.33 < 4.87     
Pal 2    144             04 46 01.80 +31 22 27.5 RGB 16.52 1.34 1.68 -1.17 4069 0.87 -1.89 0.11 < 1.62     
Pal 2    169             04 46 02.25 +31 21 51.9 RGB 17.01 1.00 1.37 -0.67 4346 1.36 -1.87 0.12 < 1.03     
Pal 2    197             04 46 02.65 +31 22 59.1 RGB 17.09 1.44 1.78 -0.59 3929 1.05 -2.03 0.11 < 0.83     
Pal 2    370             04 46 04.51 +31 21 56.3 RGB 16.35 1.16 1.43 -1.34 4300 1.04 -1.66 0.11 < 0.86     
Pal 2    379             04 46 04.56 +31 22 18.2 RGB 17.17 1.08 1.44 -0.51 4257 1.37 -1.73 0.11 < 1.00     
Pal 2    381             04 46 04.58 +31 21 19.3 RGB 16.98 0.87 1.20 -0.70 4771 1.54 -0.77 0.11 < 1.64     
Pal 2    437             04 46 04.98 +31 23 48.1 RGB 18.83 0.62 0.97  1.15 5244 2.54 -0.93 0.29 < 7.47     
Pal 2    519             04 46 05.62 +31 23 43.4 RGB 18.30 0.61 1.04  0.61 5323 2.25 -1.46 0.25 < 3.42     
Pal 2    565             04 46 05.97 +31 24 03.8 RGB 16.94 0.66 1.02 -0.74 5178 1.73 -1.48 0.13 < 2.33     
