Name	RA	Dec	Temp	log(g)	[Fe/H]	error([Fe/H])	[alpha/Fe]	[Mn/Fe]	error([Mn/Fe])	chisq(reduced)
2M21301559+1235285	322.564999	12.59125	4810.528	2.881217	-0.47601000000000004	0.0	0.24034	-0.1936601	0.029983799999999998	0.0
2M21301970+1235357	322.582098	12.593277	4922.46	2.43363	-0.34702	0.0	0.093043	-0.1553789	0.02825908	0.0
2M21301983+1153153	322.582658	11.887595	4909.282999999999	2.768102	-0.76623	0.0	0.32327	-0.11020139999999999	0.06159891	0.0
2M21302020+1159106	322.584177	11.9863	4608.244000000001	3.7242620000000004	-0.3828	0.0	0.2043	-0.18090250000000002	0.04425490000000001	0.0
2M21302146+1138310	322.589454	11.641963	4632.133	2.650578	0.10059	0.0	0.05968300000000001	0.06325075	0.02106878	0.0
2M21302223+1249337	322.592641	12.826038	4536.867	2.582667	0.2424	0.0	0.090922	0.03209025	0.01787064	0.0
2M21302991+1120233	322.624628	11.339827	4804.968	2.737649	-0.46213000000000004	0.0	0.23135	-0.12313110000000002	0.0422658	0.0
2M21303430+1223211	322.642951	12.389197	4920.198	3.5426050000000004	0.32884	0.0	0.024683	0.1256393	0.03099079	0.0
2M21303456+1225146	322.644002	12.420741	4634.1720000000005	2.7496970000000003	0.061661	0.0	0.13687	-0.04650532	0.02508793	0.0
2M21303533+1206544	322.647227	12.115135	4336.548	1.89202	-0.45083	0.0	0.29541	-0.2217218	0.02469162	0.0
2M21303963+1205235	322.665162	12.089869	4717.262	3.047613	0.15229	0.0	0.10013	-0.01448564	0.01994942	0.0
2M21304447+1140244	322.6853	11.673447999999999	4954.771	3.247463	-0.14697000000000002	0.0	0.15766	-0.09621345	0.03552857	0.0
2M21304776+1134074	322.699022	11.568731	4963.590999999999	3.3451589999999998	0.14239000000000002	0.0	0.04338	0.04612964	0.0217598	0.0
2M21305114+1143553	322.71310800000003	11.732053	4755.976	2.3031740000000003	-0.24420999999999998	0.0	0.16182	-0.10747519999999999	0.03157923	0.0
2M21305152+1244432	322.714706	12.745336	4824.079000000001	3.030447	-0.12694	0.0	0.21372	-0.09240688	0.03551899	0.0
2M21305208+1131176	322.717005	11.521577	4897.081	3.039815	0.016387	0.0	0.018038	0.0004757307	0.02469024	0.0
2M21305294+1244465	322.720613	12.746267999999999	4884.6720000000005	2.334236	-0.56945	0.0	0.27565	-0.1407944	0.03639933	0.0
2M21305384+1302232	322.724358	13.03978	4920.653	2.334731	-0.44728999999999997	0.0	0.12470999999999999	-0.09642792	0.03556491	0.0
2M21305451+1145146	322.727137	11.754071000000001	4732.471	2.7862240000000003	-0.33837	0.0	0.16509000000000001	-0.001934916	0.03696271	0.0
2M21305720+1141398	322.738365	11.694402	4567.637	2.465425	-0.32192	0.0	0.22386999999999999	-0.1942855	0.02478301	0.0
2M21310488+1250496	322.770374	12.847125	4560.163	2.42092	0.37596999999999997	0.0	0.015043	0.2065007	0.01671114	0.0
2M21310624+1133598	322.776021	11.56662	4370.373	1.8923	-0.5563600000000001	0.0	0.30204000000000003	-0.24382220000000002	0.02649913	0.0
2M21310801+1201391	322.783387	12.027529	4801.372	3.37451	-0.22693000000000002	0.0	0.17869000000000002	-0.18968529999999997	0.02537786	0.0
2M21311479+1126146	322.811627	11.437393	4720.392	2.444922	0.077359	0.0	0.06920499999999999	-0.00252299	0.02082698	0.0
2M21311582+1239479	322.815953	12.663326	4312.389	1.9585419999999998	-0.29827	0.0	0.22755	-0.1609101	0.02247921	0.0
2M21311920+1158223	322.830041	11.972878999999999	4595.11	2.787995	0.31353000000000003	0.0	-0.0098001	-0.1310578	0.03253212	0.0
2M21311936+1129141	322.830693	11.487271	4377.135	2.074243	0.038146	0.0	0.091517	-0.16033129999999998	0.01900945	0.0
2M21312098+1124543	322.837448	11.415109	4658.952	2.455498	-0.14834	0.0	0.04793	-0.05964179	0.02316595	0.0
2M21312463+1230046	322.852648	12.501285000000001	4875.225	3.380633	0.23534000000000002	0.0	0.027454000000000003	0.01949236	0.03002733	0.0
2M21312524+1237261	322.855199	12.623938	4617.181	2.647121	0.088696	0.0	0.050825	-0.0002532527	0.02000175	0.0
2M21312747+1159583	322.864479	11.999542	4477.679	2.2118919999999997	0.0018059999999999999	0.0	0.06504299999999999	-0.01895839	0.02005583	0.0
2M21313232+1205201	322.88469100000003	12.088944	4867.423	3.041276	-0.19529000000000002	0.0	0.049796	-0.12409489999999998	0.02547991	0.0
2M21313287+1225112	322.886994	12.419797	4436.934	1.866109	-0.63308	0.0	0.27581999999999995	-0.19836529999999997	0.04276664	0.0
2M21313437+1144005	322.893233	11.733486	4878.154	2.447197	-0.086493	0.0	0.06261599999999999	-0.0034522859999999997	0.02405386	0.0
2M21314055+1224087	322.91898199999997	12.402428	4607.695	2.403286	0.18307	0.0	0.033462	0.0004367679	0.01891169	0.0
2M21314255+1249212	322.927306	12.822567999999999	4525.234	2.2687180000000002	-0.07456	0.0	0.035266000000000006	-0.01568965	0.02126565	0.0
2M21314600+1247209	322.94170099999997	12.789146	4596.858	2.39193	0.17271	0.0	0.053839	0.06137311	0.01895389	0.0
2M21314625+1209197	322.942711	12.155489	4895.791	2.750527	-0.52505	0.0	0.19255	-0.1809554	0.03935627	0.0
2M21314908+1232441	322.9545	12.54561	4928.311	2.423721	-0.31793000000000005	0.0	0.10125	-0.001246095	0.027853899999999997	0.0
2M21315041+1303054	322.960056	13.051525999999999	4694.369000000001	2.627586	-0.32776	0.0	0.26955	-0.19498900000000002	0.04064128	0.0
2M21315109+1122285	322.96289900000005	11.374591	5055.766	3.3905	-0.27	0.0	0.077811	-0.1104762	0.03415552	0.0
2M21315593+1139439	322.983053	11.662197	4661.488	2.6451860000000003	0.094953	0.0	0.051445000000000005	0.01888433	0.02022535	0.0
2M21315735+1156548	322.98899700000004	11.948574	4991.558	2.849311	-0.8723200000000001	0.0	0.3686	-0.2389576	0.05080858	0.0
2M21320297+1144166	323.012406	11.737955	4677.793	2.71847	0.033975	0.0	0.039091	-0.01736428	0.02104211	0.0
2M21320540+1214116	323.022531	12.236576	5032.012	2.18243	-0.62693	0.0	0.37035	-0.040952800000000004	0.03456375	0.0
2M21320875+1218263	323.036492	12.307329	4918.193	2.7618810000000003	-0.29136999999999996	0.0	-0.007479	-0.08583039	0.04163722	0.0
2M21321199+1230212	323.049988	12.505905	4510.6320000000005	2.519779	0.23985	0.0	0.058814	0.1585047	0.01774187	0.0
