apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.2011.2M21342353-0015222,2M21342353-0015222,323.598065,-0.256187,4401.207,1.817837,0.23508,-0.41571,0.2699,-0.1574203,0.03780854
apogee.apo25m.s.stars.2011.2M21341605-0043362,2M21341605-0043362,323.566899,-0.726743,4844.994,3.223761,0.14602,0.17841,0.042583,-0.033696,0.03070736
apogee.apo25m.s.stars.2011.2M21335265-0051395,2M21335265-0051395,323.469383,-0.860994,4924.242,2.406418,0.14555,-0.47993,0.2281,-0.1405801,0.03047364
apogee.apo25m.s.stars.2011.2M21335120-0117156,2M21335120-0117156,323.463348,-1.287678,4727.881,2.534401,0.16742,-0.27199,0.11472,-0.1295251,0.02540538
apogee.apo25m.s.stars.2011.2M21333489-0100056,2M21333489-0100056,323.395385,-1.001578,4869.771,3.53948,0.11753,0.40268,0.024327,0.1123435,0.0236041
apogee.apo25m.s.stars.2011.2M21332599-0002345,2M21332599-0002345,323.358297,-0.042944,4793.871,3.286637,0.096051,0.2577,0.082475,-0.03464064,0.0321939
apogee.apo25m.s.stars.2011.2M21331673-0121297,2M21331673-0121297,323.319729,-1.358276,4342.611,1.770893,0.19525,-0.54961,0.28824,-0.2283654,0.02673662
apogee.apo25m.s.stars.2011.2M21323276-0108366,2M21323276-0108366,323.1365,-1.143519,4528.113,2.539753,0.1299,0.025574,0.18583,-0.07337126,0.02012232
apogee.apo25m.s.stars.2011.2M21322959+0004392,2M21322959+0004392,323.123329,0.077573,4724.396,2.400915,0.2001,-0.029485,0.06086,-0.102886,0.02214313
apogee.apo25m.s.stars.2011.2M21322642-0103175,2M21322642-0103175,323.110115,-1.054865,4457.937,2.258354,0.14307,0.098946,0.068723,0.07690796,0.0188687
apogee.apo25m.s.stars.2011.2M21322243-0014291,2M21322243-0014291,323.093475,-0.241443,4067.376,1.325055,0.21377,-0.15887,0.12483,-0.1160136,0.01916947
apogee.apo25m.s.stars.2011.2M21321150-0022533,2M21321150-0022533,323.047946,-0.381497,4523.367,2.429616,0.12485,0.38487,0.082474,0.005675554,0.01642739
apogee.apo25m.s.stars.2011.2M21321043-0028216,2M21321043-0028216,323.043479,-0.472693,4468.272,2.110492,0.16315,-0.50253,0.27093,-0.2598709,0.02655136
apogee.apo25m.s.stars.2011.2M21320624-0106160,2M21320624-0106160,323.026004,-1.104451,4782.344,3.145855,0.09813,0.2041,0.048875,0.003303707,0.02385256
apogee.apo25m.s.stars.2011.2M21300943-0121410,2M21300943-0121410,322.539314,-1.361403,4925.402,3.5452,0.0041769,0.30758,0.0012245,0.1176226,0.02710864
apogee.apo25m.s.stars.2011.2M21295258-0056504,2M21295258-0056504,322.469117,-0.94734,4897.93,2.831688,0.12521,-0.34471,0.20785,-0.145269,0.03817794
apogee.apo25m.s.stars.2011.2M21293981-0030302,2M21293981-0030302,322.415884,-0.508389,4671.675,2.561313,0.15755,-0.052122,0.12167,-0.06783617,0.02203944
apogee.apo25m.s.stars.4260.2M21370483-0058342,2M21370483-0058342,324.270129,-0.976185,4722.923,2.331023,0.2057,-0.25713,0.23126,-0.1467197,0.02515271
apogee.apo25m.s.stars.4260.2M21365191-0038525,2M21365191-0038525,324.216329,-0.647938,4613.898,2.142155,0.11738,-0.53261,0.26023,-0.1199908,0.02833534
apogee.apo25m.s.stars.4260.2M21314466-0012428,2M21314466-0012428,322.936122,-0.211895,4978.328,3.511925,-0.00054306,0.14967,0.0041413,0.06346284,0.03103246
apogee.apo25m.s.stars.4260.2M21300943-0121410,2M21300943-0121410,322.539314,-1.361403,4911.012,3.551061,0.12697,0.30288,0.015471,0.1352783,0.03314551
apogee.apo25m.s.stars.2247.2M21302627-0118340,2M21302627-0118340,322.609477,-1.309457,4588.289,2.310413,0.11286,-0.39203,0.26209,-0.2104058,0.03643467
apogee.apo25m.s.stars.2247.2M21293981-0030302,2M21293981-0030302,322.415884,-0.508389,4677.126,2.424964,0.14837,-0.046379,0.12474,-0.07556641,0.03055241
