apstar_id,apogee_id,ra,dec,teff,logg,fparam_logvmicro,fparam_m_h,fparam_alpha_m,mn_fe,mn_fe_err
apogee.apo25m.s.stars.5200.2M15195883+0124245,2M15195883+0124245,229.99514,1.406824,4603.948,2.494332,0.053967,-0.27664,0.18496,-0.1484487,0.03346983
apogee.apo25m.s.stars.5200.2M15203065+0142080,2M15203065+0142080,230.12771,1.702243,5002.771,3.423331,0.021475,-0.24069,0.19554,-0.1209208,0.04207039
apogee.apo25m.s.stars.5200.2M15203398+0215388,2M15203398+0215388,230.141585,2.260781,4835.199,2.393728,0.17145,-0.3371,0.22904,-0.07722831,0.02757248
apogee.apo25m.s.stars.5200.2M15205606+0203565,2M15205606+0203565,230.233599,2.065714,4814.145,2.437017,0.15137,-0.17697,0.21525,-0.09343331,0.03145014
apogee.apo25m.s.stars.5200.2M15210549+0232419,2M15210549+0232419,230.272906,2.544984,4887.149,3.187778,-0.15501,-0.33976,0.26526,-0.2489051,0.05294652
apogee.apo25m.s.stars.5200.2M15213292+0217126,2M15213292+0217126,230.38718,2.286861,4813.527,2.796917,0.056814,-0.4269,0.24861,-0.1379452,0.04355912
apogee.apo25m.s.stars.5200.2M15213544+0136261,2M15213544+0136261,230.397676,1.607252,4859.851,2.828498,-0.098426,-0.62577,0.1972,-0.3271527,0.05228071
apogee.apo25m.s.stars.5200.2M15213589+0207099,2M15213589+0207099,230.399579,2.11943,4829.497,2.938107,0.11317,0.11069,0.041431,-0.001199692,0.02119092
apogee.apo25m.s.stars.5200.2M15214273+0234076,2M15214273+0234076,230.428081,2.568795,4727.952,2.395426,0.16025,-0.18558,0.19659,-0.1157927,0.02420095
apogee.apo25m.s.stars.5200.2M15215799+0148582,2M15215799+0148582,230.491641,1.816176,4926.309,2.396449,0.14313,-0.37988,0.11414,-0.1763135,0.02882333
apogee.apo25m.s.stars.5200.2M15220842+0146163,2M15220842+0146163,230.535099,1.771203,4745.845,2.816929,0.12235,-0.03028,0.041881,-0.05690306,0.02231042
apogee.apo25m.s.stars.5200.2M15220931+0214154,2M15220931+0214154,230.538799,2.237619,5044.134,2.427481,0.16915,-0.62736,0.31734,-0.1668167,0.03445221
apogee.apo25m.s.stars.5200.2M15222628+0201301,2M15222628+0201301,230.60951,2.025049,4870.201,2.795899,0.057414,-0.54196,0.29179,-0.1454246,0.0615179
apogee.apo25m.s.stars.5200.2M15220326+0206171,2M15220326+0206171,230.513609,2.104761,4855.48,2.429368,0.13821,-0.23051,0.049931,-0.0940228,0.02588727
apogee.apo25m.s.stars.5200.2M15213879+0241194,2M15213879+0241194,230.411634,2.688736,4490.02,1.802926,0.2547,-0.83095,0.21096,-0.3547738,0.05862915
apogee.apo25m.s.stars.5200.2M15211407+0159180,2M15211407+0159180,230.308664,1.988348,4914.854,3.011544,-0.044017,-0.34868,0.20465,-0.2741393,0.05159213
apogee.apo25m.s.stars.5200.2M15205461+0124196,2M15205461+0124196,230.227543,1.405464,4232.255,1.559469,0.17514,-0.46007,0.18131,-0.1637938,0.02398053
apogee.apo25m.s.stars.5200.2M15204952+0149392,2M15204952+0149392,230.20635,1.82758,4787.67,2.846859,0.092439,-0.25275,0.25157,-0.1835086,0.03711163
apogee.apo25m.s.stars.5200.2M15203888+0200360,2M15203888+0200360,230.162013,2.010021,4825.52,3.092545,0.06704,-0.12931,0.18865,-0.1711579,0.03398487
apogee.apo25m.s.stars.5200.2M15203778+0137391,2M15203778+0137391,230.157451,1.627535,5021.89,2.373836,0.13899,-0.52317,0.28103,-0.1944064,0.04268887
apogee.apo25m.s.stars.5200.2M15203549+0142503,2M15203549+0142503,230.147883,1.713998,4528.039,2.364466,0.13621,0.27962,0.10267,0.04927889,0.01745106
apogee.apo25m.s.stars.5200.2M15202970+0151188,2M15202970+0151188,230.123784,1.85524,4704.305,2.74391,0.094493,-0.25507,0.21188,-0.1942173,0.03960973
apogee.apo25m.s.stars.5200.2M15201973+0222059,2M15201973+0222059,230.082224,2.368317,4941.59,3.295248,-0.089703,-0.42803,0.21256,-0.1666684,0.05602705
apogee.apo25m.s.stars.5200.2M15201415+0112117,2M15201415+0112117,230.058988,1.203265,4899.435,3.400213,0.020275,0.20269,0.0052868,0.08543573,0.03312898
apogee.apo25m.s.stars.5200.2M15200777+0220549,2M15200777+0220549,230.032387,2.348599,4911.945,2.520477,0.14179,-0.41459,0.1307,-0.1108481,0.05812912
apogee.apo25m.s.stars.5200.2M15195726+0136525,2M15195726+0136525,229.988617,1.614587,4278.833,1.605673,0.18521,-0.69077,0.26805,-0.2702203,0.02773601
apogee.apo25m.s.stars.5200.2M15195065+0221533,2M15195065+0221533,229.961053,2.364827,4639.826,1.811453,0.29481,-0.7218,0.33508,-0.2049274,0.03536344
apogee.apo25m.s.stars.5200.2M15192999+0226164,2M15192999+0226164,229.874976,2.437897,4317.695,2.000946,0.15079,0.054883,0.042759,-0.07160054,0.01846588
apogee.apo25m.s.stars.5200.2M15192858+0224222,2M15192858+0224222,229.869116,2.406194,5004.42,2.900321,-0.036472,-0.82893,0.3206,-0.333792,0.06065276
apogee.apo25m.s.stars.5200.2M15181870+0114351,2M15181870+0114351,229.577937,1.243109,4891.062,2.423272,0.16242,-0.36301,0.22144,-0.1001469,0.02916167
apogee.apo25m.s.stars.5200.2M15181629+0202099,2M15181629+0202099,229.567898,2.036092,4631.048,1.769922,0.38864,-0.98002,0.095961,-0.2438881,0.03668952
apogee.apo25m.s.stars.5200.2M15180145+0255565,2M15180145+0255565,229.506069,2.932372,4161.904,1.539694,0.22123,-0.26719,0.22891,-0.1629675,0.02101905
apogee.apo25m.s.stars.5200.2M15175948+0123092,2M15175948+0123092,229.497836,1.385893,4476.631,2.2774,0.1217,-0.17673,0.21214,-0.08458039,0.02644619
apogee.apo25m.s.stars.5200.2M15175946+0224454,2M15175946+0224454,229.497752,2.412619,4808.226,2.634505,0.15751,-0.64247,0.28805,-0.2233125,0.04820956
apogee.apo25m.s.stars.5200.2M15171010+0109022,2M15171010+0109022,229.292116,1.150627,5030.643,2.826584,-0.072929,-0.40735,0.23,-0.1433669,0.06065104
apogee.apo25m.s.stars.5200.2M15170458+0114368,2M15170458+0114368,229.269096,1.24357,4468.997,1.86265,0.2131,-0.37788,0.19349,-0.1474544,0.02475675
apogee.apo25m.s.stars.5200.2M15165535+0201075,2M15165535+0201075,229.230652,2.01877,4727.161,2.79588,0.094269,-0.16707,0.21341,-0.1306815,0.02871218
apogee.apo25m.s.stars.5200.2M15165466+0158242,2M15165466+0158242,229.227761,1.973406,4952.13,3.311463,-0.25525,-0.24687,0.21886,-0.05611402,0.04954207
apogee.apo25m.s.stars.5200.2M15165357+0235058,2M15165357+0235058,229.22321,2.584968,4871.395,2.408257,0.12555,-0.83448,0.16599,-0.2971787,0.06076795
apogee.apo25m.s.stars.5200.2M15161364+0124001,2M15161364+0124001,229.056843,1.40005,4794.657,3.279669,0.0084821,0.18055,0.041953,-0.05217905,0.03520834
apogee.apo25m.s.stars.5200.2M15160532+0139396,2M15160532+0139396,229.022187,1.661022,4243.653,1.54801,0.19261,-0.67568,0.26073,-0.2802876,0.02718323
apogee.apo25m.s.stars.5200.2M15160320+0119099,2M15160320+0119099,229.013374,1.319438,4810.747,2.418169,0.13919,-0.34502,0.25412,-0.1122473,0.03847503
apogee.apo25m.s.stars.5200.2M15152819+0153131,2M15152819+0153131,228.86748,1.886976,4678.804,2.388554,0.073962,-0.5663,0.29645,-0.2015513,0.05274777
apogee.apo25m.s.stars.5092.2M15215799+0148582,2M15215799+0148582,230.491641,1.816176,4904.388,2.412633,0.1705,-0.35992,0.099153,-0.09450781,0.02829573
apogee.apo25m.s.stars.5092.2M15211896+0129599,2M15211896+0129599,230.329038,1.499977,4982.629,2.489656,0.099047,-0.73362,0.33689,-0.2212732,0.06304175
apogee.apo25m.s.stars.5092.2M15211822+0203317,2M15211822+0203317,230.325957,2.058821,4773.312,2.528565,0.12584,-0.55522,0.30171,-0.2338851,0.0380445
apogee.apo25m.s.stars.5092.2M15211407+0159180,2M15211407+0159180,230.308664,1.988348,4944.364,2.545223,0.14687,-0.38981,0.25907,-0.05846357,0.04448371
apogee.apo25m.s.stars.5092.2M15211095+0132084,2M15211095+0132084,230.29565,1.535678,4996.826,3.476134,0.12065,-0.043084,0.11758,-0.08906204,0.03219628
apogee.apo25m.s.stars.5092.2M15205606+0203565,2M15205606+0203565,230.233599,2.065714,4780.861,2.415568,0.15185,-0.18573,0.19977,-0.09321792,0.02462942
apogee.apo25m.s.stars.5092.2M15204952+0149392,2M15204952+0149392,230.20635,1.82758,4795.29,2.834401,0.14781,-0.28259,0.26166,-0.1313661,0.03100158
apogee.apo25m.s.stars.5092.2M15203778+0137391,2M15203778+0137391,230.157451,1.627535,5049.636,2.414172,0.19731,-0.53146,0.28176,-0.1208968,0.03269757
apogee.apo25m.s.stars.5092.2M15203549+0142503,2M15203549+0142503,230.147883,1.713998,4535.468,2.370799,0.16139,0.26694,0.11567,0.05045769,0.01761856
apogee.apo25m.s.stars.5092.2M15203477+0152508,2M15203477+0152508,230.144908,1.880789,4951.97,3.013666,0.086277,-0.41504,0.23285,-0.1650998,0.04194288
apogee.apo25m.s.stars.5092.2M15195845+0121471,2M15195845+0121471,229.993543,1.363091,4932.858,2.346664,0.18488,-0.52074,0.26737,-0.1240887,0.04031536
